,,MXWD,MXEF,MXWO,IBOV,VIX,TIPS
Th,01/03/2018,511.9,1192.25,2089.98,85377.79,22.47,292.0306
We,28/02/2018,518.08,1195.19,2117.99,85353.59,19.85,291.0739
Tu,27/02/2018,523.83,1212.33,2140.57,86935.44,18.59,290.4911
Mo,26/02/2018,528.4,1221.08,2159.67,87652.64,15.8,291.4003
,,,,,,,
Fr,23/02/2018,524.12,1216.43,2140.91,87293.24,16.49,290.7712
Th,22/02/2018,518.2,1200.9,2117.17,86686.45,18.72,289.9198
We,21/02/2018,518.92,1209.67,2118.36,86051.82,20.02,289.4917
Tu,20/02/2018,519.81,1194.53,2126.22,85803.95,20.6,290.2799
Mo,19/02/2018,522.25,1201.04,2135.94,84792.71,,
,,,,,,,
Fr,16/02/2018,522.6,1199.73,2137.91,84524.58,19.46,290.4108
Th,15/02/2018,521.25,1202.62,2130.94,84290.56,19.13,290.4563
We,14/02/2018,514.95,1185.33,2105.86,83542.84,19.26,289.8516
Tu,13/02/2018,508.44,1164.49,2080.68,,24.97,290.3039
Mo,12/02/2018,506.84,1153.37,2075.91,,25.61,290.2786
,,,,,,,
Fr,09/02/2018,500.91,1142.85,2050.9,80898.7,29.06,290.4376
Th,08/02/2018,500.7,1163.09,2045.01,81532.53,33.46,290.8006
We,07/02/2018,513.3,1173.38,2101.07,82766.73,27.73,291.4467
Tu,06/02/2018,512.97,1176.18,2098.85,83894.04,29.98,292.4371
Mo,05/02/2018,515.73,1209.34,2103.64,81861.09,37.32,292.4436
,,,,,,,
Fr,02/02/2018,531.46,1230.84,2171.54,84041.34,17.31,291.7858
Th,01/02/2018,541.21,1248.65,2212.53,85495.24,13.47,292.9134
We,31/01/2018,541.67,1254.59,2213.24,84912.7,13.54,293.9305
Tu,30/01/2018,541.5,1247.63,2214.11,84482.46,14.79,293.3136
Mo,29/01/2018,546.89,1267.98,2234.22,84698.02,13.84,293.9317
,,,,,,,
Fr,26/01/2018,550.32,1273.07,2248.93,85530.84,11.08,294.5298
Th,25/01/2018,546.68,1263.45,2234.38,,11.58,294.8619
We,24/01/2018,545.99,1258.75,2232.3,83680,11.47,294.1725
Tu,23/01/2018,545.17,1252.39,2230.05,80678.34,11.1,294.5063
Mo,22/01/2018,542.5,1238.5,2221.01,81675.42,11.03,293.9926
,,,,,,,
Fr,19/01/2018,539.27,1232.6,2207.4,81219.5,11.27,294.4541
Th,18/01/2018,536.7,1227.52,2196.73,80962.65,12.22,294.7794
We,17/01/2018,537.14,1222.62,2199.93,81189.16,11.91,294.7265
Tu,16/01/2018,534.41,1217.87,2188.39,79831.77,11.66,295.1764
Mo,15/01/2018,535.22,1210.64,2193.95,79752.38,,
,,,,,,,
Fr,12/01/2018,533.23,1208.17,2185.31,79349.12,10.16,294.6285
Th,11/01/2018,529.74,1197.01,2171.78,79365.44,9.88,294.6299
We,10/01/2018,527.73,1197.53,2162.29,78200.57,9.82,294.6844
Tu,09/01/2018,528.02,1205.14,2161.78,78863.54,10.08,294.8152
Mo,08/01/2018,527.29,1206.86,2157.96,79378.53,9.52,295.7031
,,,,,,,
Fr,05/01/2018,526.69,1201.01,2156.6,79071.47,9.22,295.9493
Th,04/01/2018,523.26,1192.56,2142.75,78647.42,9.22,296.0675
We,03/01/2018,519.15,1184.21,2125.65,77995.16,9.15,295.9644
Tu,02/01/2018,516.76,1177.98,2116.04,77891.04,9.77,295.6541
Mo,01/01/2018,512.98,1157.55,2103.47,,,
,,,,,,,
Fr,29/12/2017,513.03,1158.45,2103.45,,11.04,296.4726
Th,28/12/2017,513.51,1153.58,2106.89,76402.08,10.18,295.5937
We,27/12/2017,512.23,1144.39,2103.19,76072.54,10.47,295.5864
Tu,26/12/2017,511.1,1138.63,2099.31,75707.73,10.25,294.4059
Mo,25/12/2017,511.36,1141.11,2099.94,,,
,,,,,,,
Fr,22/12/2017,511.29,1141.09,2099.59,75186.53,9.9,293.9208
Th,21/12/2017,511.19,1134.38,2100.78,75133.43,9.62,294.028
We,20/12/2017,509.96,1132.85,2095.45,73367.03,9.72,293.2779
Tu,19/12/2017,510.12,1132.2,2096.34,72680.37,10.03,293.9056
Mo,18/12/2017,511.68,1130.39,2104.02,73115.45,9.53,294.9587
,,,,,,,
Fr,15/12/2017,507.08,1118.5,2085.54,72607.7,9.42,295.4332
Th,14/12/2017,505.51,1121.22,2077.55,72428.93,10.49,295.6049
We,13/12/2017,506.84,1118.81,2084.36,72914.34,10.18,295.4928
Tu,12/12/2017,506.31,1112.37,2083.43,73813.53,9.92,294.9643
Mo,11/12/2017,506.23,1119.97,2081.24,72800.04,9.34,294.781
,,,,,,,
Fr,08/12/2017,504.08,1110.78,2073.46,72731.84,9.58,294.8493
Th,07/12/2017,501.42,1100.54,2063.58,72487.45,10.16,294.7175
We,06/12/2017,500.3,1101.2,2058.22,73268.35,11.02,295.5043
Tu,05/12/2017,502.33,1117.69,2063.64,72546.17,11.33,295.2191
Mo,04/12/2017,503.92,1121.95,2069.99,73090.17,11.68,294.9104
,,,,,,,
Fr,01/12/2017,503.47,1115.94,2069.37,72264.45,11.43,294.9494
Th,30/11/2017,505.44,1120.79,2077.36,71970.99,11.28,293.783
We,29/11/2017,504.12,1141.38,2066.22,72700.45,10.7,294.0926
Tu,28/11/2017,504.45,1146.5,2066.55,74139.72,10.03,294.7498
Mo,27/11/2017,502.02,1144.33,2055.77,74058.91,9.87,294.9361
,,,,,,,
Fr,24/11/2017,503.35,1154.26,2059.54,74157.38,9.67,294.7189
Th,23/11/2017,501.9,1152.4,2053.28,74486.58,,
We,22/11/2017,501.43,1156.67,2050.06,74518.79,9.88,295.1183
Tu,21/11/2017,500.51,1150.98,2047.15,74594.62,9.73,294.2041
Mo,20/11/2017,497.28,1136.1,2035.73,,10.65,294.1966
,,,,,,,
Fr,17/11/2017,496.75,1136.45,2033.18,73437.28,11.43,294.5009
Th,16/11/2017,496.74,1125.36,2035.81,72511.79,11.76,294.4705
We,15/11/2017,492.82,1111.12,2021.03,,13.13,294.7
Tu,14/11/2017,495.53,1118.32,2031.88,70826.59,11.59,294.0003
Mo,13/11/2017,496.61,1123.26,2035.72,72475.17,11.5,293.7068
,,,,,,,
Fr,10/11/2017,497.86,1128.49,2040.25,72165.64,11.29,293.6564
Th,09/11/2017,498.59,1133.78,2042.36,72930.69,10.5,294.8895
We,08/11/2017,500.43,1134.68,2050.7,74363.13,9.78,295.1794
Tu,07/11/2017,499.58,1134.55,2046.78,72414.88,9.89,295.2694
Mo,06/11/2017,499.4,1131.03,2046.8,74310.79,9.4,294.7562
,,,,,,,
Fr,03/11/2017,498.86,1126.18,2045.47,73915.42,9.14,293.9781
Th,02/11/2017,498.44,1127.31,2043.24,,9.93,294.098
We,01/11/2017,498.08,1128.94,2041.17,73823.74,10.2,293.5134
Tu,31/10/2017,496.62,1119.08,2036.8,74308.49,10.18,293.4023
Mo,30/10/2017,495.96,1115.53,2034.59,74800.34,10.5,293.3349
,,,,,,,
Fr,27/10/2017,495.69,1110.22,2034.6,75975.71,9.8,292.3062
Th,26/10/2017,493.66,1108.17,2025.69,75896.35,11.3,291.664
We,25/10/2017,493.5,1114.09,2023.48,76671.13,11.23,291.5709
Tu,24/10/2017,495.16,1113.32,2031.38,76350.2,11.16,292.1826
Mo,23/10/2017,495.01,1115.9,2030.06,75413.13,11.07,292.5621
,,,,,,,
Fr,20/10/2017,496.39,1119.69,2035.58,76390.52,9.97,292.4088
Th,19/10/2017,495.75,1116.91,2033.29,76283.16,10.05,293.0605
We,18/10/2017,495.66,1126.9,2030.44,76591.09,10.07,292.8716
Tu,17/10/2017,494.93,1125.66,2027.36,76201.25,10.31,293.2055
Mo,16/10/2017,495.8,1131.82,2029.89,76891.84,9.91,293.3466
,,,,,,,
Fr,13/10/2017,495.09,1125.91,2028.01,76989.79,9.61,294.1133
Th,12/10/2017,493.92,1121.62,2023.64,,9.91,293.9119
We,11/10/2017,493.89,1117.33,2024.54,76659.8,9.85,293.3428
Tu,10/10/2017,493,1112.53,2021.56,76897.21,10.08,293.1487
Mo,09/10/2017,490.56,1100.42,2013.12,75726.8,10.33,
,,,,,,,
Fr,06/10/2017,490.89,1103.12,2014.02,76054.72,9.65,292.3285
Th,05/10/2017,491.33,1102.76,2016.15,76617.53,9.19,292.6691
We,04/10/2017,490.16,1101.84,2010.95,76591.44,9.63,292.8288
Tu,03/10/2017,489.63,1097.03,2009.63,76762.91,9.51,292.5951
Mo,02/10/2017,487.83,1082.97,2004.68,74359.83,9.45,292.3761
,,,,,,,
Fr,29/09/2017,486.88,1081.72,2000.55,74293.51,9.51,292.776
Th,28/09/2017,484.63,1072.38,1992.36,73567.25,9.55,293.4864
We,27/09/2017,484.01,1078.57,1988,73796.71,9.87,293.3617
Tu,26/09/2017,483.07,1080.11,1983.25,74318.72,10.17,294.4721
Mo,25/09/2017,484.75,1088.26,1989.08,74443.48,10.21,294.8069
,,,,,,,
Fr,22/09/2017,486.66,1102.25,1994.58,75389.75,9.59,293.9467
Th,21/09/2017,486.05,1108.19,1990.33,75604.34,9.67,293.2756
We,20/09/2017,488.06,1112.07,1998.69,76004.15,9.78,293.6938
Tu,19/09/2017,487.37,1109.63,1996.09,75974.18,10.18,294.6339
Mo,18/09/2017,486.36,1112.92,1990.58,75990.41,10.15,294.9768
,,,,,,,
Fr,15/09/2017,485.18,1102.16,1987.72,75756.52,10.17,295.1503
Th,14/09/2017,484.14,1099.89,1983.42,74656.68,10.44,295.1292
We,13/09/2017,484.83,1099.46,1986.74,74787.57,10.5,294.875
Tu,12/09/2017,485.3,1102.26,1988.28,74538.55,10.58,295.3295
Mo,11/09/2017,483.79,1099.18,1981.97,74319.22,10.73,296.0036
,,,,,,,
Fr,08/09/2017,479.61,1091.17,1964.52,73078.85,12.12,296.8552
Th,07/09/2017,479.57,1090.1,1964.57,,11.55,296.4909
We,06/09/2017,478.04,1083.18,1959.15,73412.41,11.63,295.4551
Tu,05/09/2017,477.16,1084.93,1954.64,72150.88,12.23,295.954
Mo,04/09/2017,478.95,1083.34,1963.32,72128.83,,
,,,,,,,
Fr,01/09/2017,479.9,1091.36,1965.79,71923.11,10.13,294.2598
Th,31/08/2017,478.41,1087.7,1959.74,70835.05,10.59,294.664
We,30/08/2017,475.79,1088,1947.53,70886.26,11.22,293.7847
Tu,29/08/2017,474.91,1081.23,1945.05,71329.85,11.7,293.8886
Mo,28/08/2017,475.37,1085.08,1946.28,71016.59,11.32,293.6155
,,,,,,,
Fr,25/08/2017,475.02,1085.37,1944.56,71073.65,11.28,293.2961
Th,24/08/2017,473.81,1082.45,1939.65,71132.8,12.23,293.0664
We,23/08/2017,473.99,1075.6,1942.15,70477.63,12.25,293.5448
Tu,22/08/2017,474.48,1072.52,1945.18,70011.25,11.35,292.7448
Mo,21/08/2017,471.23,1063.66,1932.22,68634.65,13.19,293.1935
,,,,,,,
Fr,18/08/2017,470.63,1059.54,1930.41,68714.66,14.26,292.9769
Th,17/08/2017,472.1,1063.33,1936.32,67976.8,15.55,293.1136
We,16/08/2017,475.75,1060.27,1954.04,68594.3,11.74,292.6539
Tu,15/08/2017,474.32,1052.51,1949.23,68355.13,12.04,291.8642
Mo,14/08/2017,475.1,1053.65,1952.58,68284.66,12.33,292.6806
,,,,,,,
Fr,11/08/2017,471.33,1042.8,1937.73,67358.59,15.51,293.75
Th,10/08/2017,472.58,1056.21,1940.28,66992.09,16.04,293.8232
We,09/08/2017,477.89,1068.92,1961.88,67671.06,11.11,293.4769
Tu,08/08/2017,479.45,1078.53,1966.81,67898.94,10.96,292.5732
Mo,07/08/2017,480.35,1075.36,1971.76,67939.66,9.93,292.5244
,,,,,,,
Fr,04/08/2017,479.07,1067.26,1967.77,66897.98,10.03,292.0376
Th,03/08/2017,479.11,1064.07,1968.72,66777.13,10.44,292.383
We,02/08/2017,479.76,1069.97,1970.29,67135.99,10.28,291.8598
Tu,01/08/2017,479.73,1069,1970.39,66516.23,10.09,292.052
Mo,31/07/2017,477.58,1066.23,1961.1,65920.36,10.26,291.5618
,,,,,,,
Fr,28/07/2017,477.25,1062.97,1960.32,65497.13,10.29,291.7914
Th,27/07/2017,478.25,1068.95,1963.54,65277.38,10.11,291.2329
We,26/07/2017,477.55,1062.29,1961.9,65010.57,9.6,291.4946
Tu,25/07/2017,477.24,1061.69,1960.59,65667.63,9.43,290.5074
Mo,24/07/2017,476.13,1064.27,1954.84,65099.55,9.43,291.4309
,,,,,,,
Fr,21/07/2017,476.77,1060.18,1958.77,64684.18,9.36,291.6176
Th,20/07/2017,477.7,1059.4,1963.31,64938.02,9.58,291.1491
We,19/07/2017,476.72,1060.12,1958.56,65179.92,9.79,291.8266
Tu,18/07/2017,474.44,1053.23,1949.66,65337.67,9.89,291.5926
Mo,17/07/2017,474.13,1051.55,1948.58,65212.31,9.82,290.73
,,,,,,,
Fr,14/07/2017,473.78,1047.05,1948.08,65436.18,9.51,290.2843
Th,13/07/2017,471.06,1040.72,1936.94,65178.35,9.9,290.0296
We,12/07/2017,469.62,1029.9,1932.86,64835.55,10.3,290.1406
Tu,11/07/2017,465.31,1018.2,1915.67,63832.15,10.89,289.2466
Mo,10/07/2017,465.16,1009.29,1917.11,63025.47,11.11,288.6945
,,,,,,,
Fr,07/07/2017,463.96,1002.48,1913.18,62322.4,11.19,288.6108
Th,06/07/2017,463.25,1006.16,1909.01,62470.33,12.54,289.6591
We,05/07/2017,465.88,1009.85,1920.33,63154.17,11.07,290.1967
Tu,04/07/2017,465.41,1006.73,1918.9,63231.59,,
Mo,03/07/2017,466.16,1014.24,1920.58,63279.58,11.22,289.9476
,,,,,,,
Fr,30/06/2017,465.09,1010.8,1916.43,62899.97,11.18,290.2686
Th,29/06/2017,465.94,1014.02,1919.59,62238.95,11.44,290.8362
We,28/06/2017,468.45,1012.1,1931.73,62017.97,10.03,291.9423
Tu,27/06/2017,465.64,1016.68,1917.57,61675.46,11.06,291.7324
Mo,26/06/2017,467.9,1019.11,1927.49,62188.09,9.9,292.8597
,,,,,,,
Fr,23/06/2017,466.98,1011.67,1925.02,61087.14,10.02,292.4026
Th,22/06/2017,466.09,1008.81,1921.54,61272.21,10.48,292.0798
We,21/06/2017,465.63,1006.47,1920,60761.74,10.75,291.3423
Tu,20/06/2017,466.29,1008.67,1922.54,60766.16,10.86,291.1189
Mo,19/06/2017,469.53,1012.95,1936.52,62014.03,10.37,290.6302
,,,,,,,
Fr,16/06/2017,466.16,1003.12,1923.24,61626.41,10.38,290.9648
Th,15/06/2017,464.74,1003.64,1916.52,,10.9,290.8708
We,14/06/2017,468.27,1013.69,1930.53,61922.93,10.64,291.8578
Tu,13/06/2017,467.69,1009.78,1928.74,61828.99,10.42,291.869
Mo,12/06/2017,465.48,1008.92,1918.7,61700.23,11.46,291.658
,,,,,,,
Fr,09/06/2017,466.84,1018.19,1922.79,62210.56,10.7,292.3858
Th,08/06/2017,467.19,1019.07,1924.2,62755.57,10.16,292.5849
We,07/06/2017,467.63,1015.75,1927.06,63170.73,10.39,292.8415
Tu,06/06/2017,467.42,1015.89,1926.05,62954.69,10.45,293.5349
Mo,05/06/2017,468.73,1017.6,1931.73,62450.45,10.07,293.1182
,,,,,,,
Fr,02/06/2017,469.35,1015.08,1935.21,62510.7,9.75,293.6258
Th,01/06/2017,466.4,1008.47,1923.1,62288.52,9.89,292.8942
We,31/05/2017,463.79,1005.33,1911.74,62711.47,10.41,293.0471
Tu,30/05/2017,463.73,1011.77,1909.9,63962.27,10.38,292.6886
Mo,29/05/2017,464.29,1015.19,1911.7,63760.94,,
,,,,,,,
Fr,26/05/2017,464.5,1017,1912.21,64085.41,9.81,291.8557
Th,25/05/2017,464.88,1014.55,1914.59,63226.79,9.99,291.5212
We,24/05/2017,462.93,1005.03,1907.81,63257.36,10.02,291.5515
Tu,23/05/2017,462.66,1004.47,1906.69,62662.48,10.72,291.6805
Mo,22/05/2017,462.24,1003.66,1904.92,61673.49,10.93,291.924
,,,,,,,
Fr,19/05/2017,459.64,995.67,1894.77,62639.31,12.04,292.3016
Th,18/05/2017,456.29,988.38,1880.96,61597.05,14.66,291.8248
We,17/05/2017,457.69,1008.63,1882.62,67540.25,15.59,291.8194
Tu,16/05/2017,463.11,1015.05,1906.23,68684.5,10.65,290.0483
Mo,15/05/2017,461.87,1010.23,1901.64,68474.19,10.42,290.0579
,,,,,,,
Fr,12/05/2017,459.6,1002.37,1892.97,68221.94,10.4,290.497
Th,11/05/2017,459.11,1000.35,1891.21,67537.62,10.6,290.1315
We,10/05/2017,459.86,995.09,1895.93,67349.73,10.21,289.2419
Tu,09/05/2017,459.09,990.6,1893.41,66277.67,9.96,289.027
Mo,08/05/2017,459.65,985.11,1897.32,65526.04,9.77,289.5611
,,,,,,,
Fr,05/05/2017,459.17,978.27,1896.75,65709.73,10.57,290.1155
Th,04/05/2017,457.05,980.07,1886.48,64862.61,10.46,289.9819
We,03/05/2017,456.62,985.74,1883.14,66093.78,10.68,291.2835
Tu,02/05/2017,457.4,988.19,1886.15,66721.75,10.59,291.7964
Mo,01/05/2017,456.17,979.76,1882.49,,10.11,291.7953
,,,,,,,
Fr,28/04/2017,455.17,977.96,1878.28,65403.25,10.82,293.1729
Th,27/04/2017,455.88,979.66,1881.14,64676.55,10.36,292.5214
We,26/04/2017,456.31,982.53,1882.44,64861.92,10.85,292.1289
Tu,25/04/2017,456.23,982.65,1882.04,65148.35,10.76,291.9017
Mo,24/04/2017,453.41,971.36,1871.65,64389.02,10.84,292.2495
,,,,,,,
Fr,21/04/2017,446.54,961.78,1842.06,,14.63,292.3911
Th,20/04/2017,447.35,958.45,1846.65,63760.62,14.15,292.561
We,19/04/2017,444.57,952.92,1835.04,63406.97,14.93,293.0203
Tu,18/04/2017,445.31,957.7,1837.34,64158.84,14.42,293.5444
Mo,17/04/2017,447.46,962.71,1846.13,64334.93,14.66,292.8137
,,,,,,,
Fr,14/04/2017,444.36,960.43,1832.28,,,
Th,13/04/2017,444.66,962.85,1833.13,62826.28,15.96,293.8859
We,12/04/2017,446.55,958.2,1842.99,63891.68,15.77,292.6818
Tu,11/04/2017,447.41,954.44,1847.88,64359.79,15.07,292.3695
Mo,10/04/2017,447.36,958,1846.78,64649.82,14.05,291.5632
,,,,,,,
Fr,07/04/2017,447.26,961.61,1845.46,64593.11,12.87,291.5219
Th,06/04/2017,447.59,963.29,1846.59,64222.72,12.39,292.4122
We,05/04/2017,447.76,969.22,1845.95,64774.77,12.89,292.4548
Tu,04/04/2017,448.43,965.17,1850.02,65768.91,11.79,292.0723
Mo,03/04/2017,448.2,965.15,1848.97,65211.48,12.38,292.2022
,,,,,,,
Fr,31/03/2017,448.87,958.37,1853.69,64984.07,12.37,291.4488
Th,30/03/2017,450.79,969.47,1859.95,65265.98,11.54,290.7558
We,29/03/2017,450.22,971.86,1856.77,65528.29,11.42,291.5295
Tu,28/03/2017,450.6,970.32,1858.88,64640.45,11.53,290.786
Mo,27/03/2017,447.4,965.71,1845.15,64308.39,12.5,291.6236
,,,,,,,
Fr,24/03/2017,447.72,969.13,1845.81,63853.77,12.96,291.5935
Th,23/03/2017,447.48,967.92,1844.97,63530.79,13.12,290.3874
We,22/03/2017,446.92,966.97,1842.63,63521.34,12.81,290.7524
Tu,21/03/2017,448.05,973.08,1846.39,62980.37,12.47,290.0358
Mo,20/03/2017,451.06,972.35,1860.53,64884.27,11.34,289.7538
,,,,,,,
Fr,17/03/2017,451.26,965.57,1863.08,64209.94,11.28,289.2155
Th,16/03/2017,451.36,963.2,1864.1,65782.85,11.21,288.9618
We,15/03/2017,448.2,943.52,1854.15,66234.88,11.63,289.051
Tu,14/03/2017,445.61,939.97,1842.98,64699.46,12.3,286.6225
Mo,13/03/2017,447.05,938.5,1850.02,65534.3,11.35,286.9058
,,,,,,,
Fr,10/03/2017,445.52,926.14,1845.88,64675.46,11.66,287.1186
Th,09/03/2017,443.21,922.94,1835.9,64585.23,12.3,286.8489
We,08/03/2017,443.57,934.9,1834.72,64718.02,11.86,287.6072
Tu,07/03/2017,444.91,936.5,1840.57,65742.33,11.45,288.8788
Mo,06/03/2017,445.91,934.42,1845.7,66341.37,11.24,289.2584
,,,,,,,
Fr,03/03/2017,446.45,931.07,1848.98,66785.53,10.96,289.4153
Th,02/03/2017,446.69,936.37,1848.84,65854.93,11.81,288.8828
We,01/03/2017,448.41,938.47,1856.34,66988.88,12.54,289.5531
Tu,28/02/2017,444.5,936.37,1838.7,,12.92,291.6048
Mo,27/02/2017,445.32,940.32,1841.57,,12.09,291.4465
,,,,,,,
Fr,24/02/2017,445.32,943.52,1840.8,66662.1,11.47,292.2936
Th,23/02/2017,446.75,952.12,1845.35,67461.39,11.71,291.3004
We,22/02/2017,446.04,950.95,1842.37,68589.55,11.74,290.6599
Tu,21/02/2017,445.92,945.64,1843.05,69052.02,11.57,290.2611
Mo,20/02/2017,444.46,943.58,1836.78,68532.86,,
,,,,,,,
Fr,17/02/2017,444.17,939.03,1836.5,67748.42,11.49,290.1735
Th,16/02/2017,444.52,945.62,1836.56,67814.24,11.76,289.7974
We,15/02/2017,443.67,941.78,1833.55,67975.58,11.97,289.48
Tu,14/02/2017,441.14,934.08,1823.63,66712.88,10.74,289.136
Mo,13/02/2017,441.14,935.45,1823.34,66967.64,11.07,289.9255
,,,,,,,
Fr,10/02/2017,439.01,930.16,1814.71,66124.52,10.85,290.6247
Th,09/02/2017,437.23,925.57,1807.54,64964.89,10.88,290.2123
We,08/02/2017,435.89,921.68,1802.26,64835.4,11.45,290.6099
Tu,07/02/2017,434.73,919.8,1797.29,64198.9,11.29,290.1963
Mo,06/02/2017,435.09,922.99,1798.21,63992.93,11.37,290.188
,,,,,,,
Fr,03/02/2017,436.45,918.87,1805.51,64953.93,10.97,289.1533
Th,02/02/2017,434.02,915.21,1795.11,64578.21,11.93,289.8112
We,01/02/2017,433.53,913,1793.39,64836.13,11.81,289.9664
Tu,31/01/2017,433.13,909.23,1792.4,64670.78,11.99,290.2378
Mo,30/01/2017,433.25,913.09,1792.06,64301.73,11.88,289.8414
,,,,,,,
Fr,27/01/2017,435.84,915.92,1803.39,66033.98,10.58,289.9899
Th,26/01/2017,435.96,916.73,1803.75,66190.63,10.63,289.2374
We,25/01/2017,436.17,912.16,1805.81,,10.81,288.844
Tu,24/01/2017,432.7,908.63,1790.57,65840.09,11.07,289.4619
Mo,23/01/2017,430.4,902.14,1781.43,65748.63,11.77,290.3214
,,,,,,,
Fr,20/01/2017,430.22,893.28,1782.71,64521.18,11.54,289.3615
Th,19/01/2017,428.84,894.52,1776.02,63950.86,12.78,289.2923
We,18/01/2017,431.1,897.89,1785.69,64149.57,12.48,289.672
Tu,17/01/2017,430.33,894.87,1782.86,64354.34,11.87,290.7316
Mo,16/01/2017,430.23,889.11,1783.76,63831.28,,
,,,,,,,
Fr,13/01/2017,431.55,895.98,1788.23,63651.52,11.23,289.909
Th,12/01/2017,430.55,896.64,1783.44,63953.93,11.54,290.1531
We,11/01/2017,428.9,886.73,1778.17,62446.26,11.26,289.9339
Tu,10/01/2017,429.17,885.7,1779.62,62131.8,11.49,289.1624
Mo,09/01/2017,428.21,878.44,1776.94,61700.29,11.56,289.046
,,,,,,,
Fr,06/01/2017,429.68,881.11,1783.1,61665.37,11.32,288.5733
Th,05/01/2017,429.57,881.72,1782.46,62070.98,11.67,289.5001
We,04/01/2017,427.21,871.45,1773.96,61589.06,11.85,288.2719
Tu,03/01/2017,423.61,868.44,1757.99,61813.83,12.85,288.1355
Mo,02/01/2017,422.22,861.88,1753.09,59588.7,,
,,,,,,,
Fr,30/12/2016,421.84,862.27,1751.22,,14.04,287.8181
Th,29/12/2016,422.02,858.44,1752.96,60227.28,13.37,286.6958
We,28/12/2016,421.11,851.18,1750.48,59781.63,12.95,286.4817
Tu,27/12/2016,422.95,844.66,1760.56,58696.69,11.99,285.8424
Mo,26/12/2016,422.39,842.45,1758.48,58620.26,,
,,,,,,,
Fr,23/12/2016,422.49,841.6,1759.15,57937.11,11.44,285.9192
Th,22/12/2016,422.25,842.51,1757.83,57255.22,11.43,285.3253
We,21/12/2016,423.18,851.17,1760.09,57646.52,11.27,284.4129
Tu,20/12/2016,423.48,851.31,1761.43,57582.89,11.45,283.7514
Mo,19/12/2016,422.91,851.13,1758.82,57111,11.71,283.3927
,,,,,,,
Fr,16/12/2016,422.3,856.4,1754.74,58389.04,12.2,282.2897
Th,15/12/2016,422.36,858.65,1754.51,58396.16,12.79,283.2703
We,14/12/2016,425.07,872.76,1763.72,58212.12,13.19,285.2286
Tu,13/12/2016,427.52,877.2,1774.01,59280.57,12.72,286.5144
Mo,12/12/2016,424.3,872.24,1760.25,59178.62,12.64,286.8015
,,,,,,,
Fr,09/12/2016,424.56,877.85,1760.12,60500.62,11.75,286.8384
Th,08/12/2016,423.08,879.32,1752.94,60676.57,12.64,288.2776
We,07/12/2016,421.7,867.61,1749.31,61414.4,12.22,288.5271
Tu,06/12/2016,416.75,861.49,1727.82,61088.25,11.79,287.9231
Mo,05/12/2016,414.27,853.97,1718.1,59831.73,12.14,287.9271
,,,,,,,
Fr,02/12/2016,412.25,853.07,1708.94,60316.13,14.12,287.3966
Th,01/12/2016,412.46,858.41,1708.64,59506.54,14.07,287.4854
We,30/11/2016,413.43,862.83,1712.09,61906.36,13.33,288.101
Tu,29/11/2016,413.93,858.47,1715.42,60986.52,12.9,287.4531
Mo,28/11/2016,413.64,863.17,1712.98,62855.5,13.15,287.1885
,,,,,,,
Fr,25/11/2016,414.96,855.78,1720.84,61559.08,12.34,287.0709
Th,24/11/2016,413.13,852.02,1713.27,61395.53,,
We,23/11/2016,412.57,855.92,1709.71,61985.91,12.43,287.489
Tu,22/11/2016,413.37,857.45,1713.07,61954.47,12.41,288.1223
Mo,21/11/2016,412.3,847.4,1710.49,61070.27,12.42,287.7798
,,,,,,,
Fr,18/11/2016,409.32,844.53,1697.35,59961.76,12.85,287.5653
Th,17/11/2016,411.53,847.19,1706.98,59770.47,13.35,288.1627
We,16/11/2016,409.68,847.15,1698.41,60759.32,13.72,288.2889
Tu,15/11/2016,410.13,841.49,1701.82,,13.37,288.0268
Mo,14/11/2016,407.94,838.96,1692.31,59657.46,14.48,288.1994
,,,,,,,
Fr,11/11/2016,409.47,849.1,1696.99,59183.51,14.17,
Th,10/11/2016,411.75,875.63,1701.29,61200.96,14.74,290.9973
We,09/11/2016,410.94,880.15,1696.46,63258.27,14.38,291.4783
Tu,08/11/2016,411.06,902.45,1691.74,64157.68,18.74,293.2648
Mo,07/11/2016,409.34,894.77,1685.62,64051.65,18.71,293.7004
,,,,,,,
Fr,04/11/2016,403.1,880.12,1660.12,61598.39,22.51,293.6234
Th,03/11/2016,404.83,884.93,1667.03,61750.17,22.08,293.1509
We,02/11/2016,406.35,890.21,1672.83,,19.32,293.9813
Tu,01/11/2016,409.38,902.58,1683.96,63326.42,18.56,294.0098
Mo,31/10/2016,411.01,905.09,1690.92,64924.52,17.06,293.7379
,,,,,,,
Fr,28/10/2016,410.94,903.5,1690.96,64307.63,16.19,293.1673
Th,27/10/2016,411.83,905.31,1694.66,64249.5,15.36,293.0842
We,26/10/2016,413.24,910.58,1699.92,63825.69,14.24,294.3127
Tu,25/10/2016,413.9,918.25,1701.2,63866.2,13.46,294.493
Mo,24/10/2016,415,918.4,1706.24,64059.89,13.02,293.9747
,,,,,,,
Fr,21/10/2016,413.54,911.24,1701.16,64108.08,13.34,294.4103
Th,20/10/2016,414.27,913.38,1704.04,63837.85,13.75,294.3935
We,19/10/2016,414.85,913.35,1706.74,63505.61,14.41,294.4156
Tu,18/10/2016,413.39,908.55,1701.1,63782.21,15.28,294.1571
Mo,17/10/2016,409.82,894.71,1687.84,62696.11,16.21,294.0346
,,,,,,,
