Date,Open,High,Low,Close
02/14/2025,"2,287.85","2,297.71","2,276.63","2,279.98"
02/13/2025,"2,264.83","2,282.42","2,259.07","2,282.19"
02/12/2025,"2,250.71","2,262.57","2,240.51","2,255.89"
02/11/2025,"2,278.16","2,282.21","2,270.89","2,275.70"
02/10/2025,"2,289.38","2,294.71","2,281.65","2,287.94"
02/07/2025,"2,308.19","2,311.51","2,277.63","2,279.71"
02/06/2025,"2,323.30","2,326.95","2,295.68","2,307.12"
02/05/2025,"2,297.74","2,316.23","2,293.38","2,316.23"
02/04/2025,"2,257.19","2,291.38","2,257.11","2,290.21"
02/03/2025,"2,244.82","2,271.21","2,229.51","2,258.42"
01/31/2025,"2,307.70","2,322.29","2,278.78","2,287.69"
01/30/2025,"2,299.83","2,320.53","2,293.71","2,307.45"
01/29/2025,"2,286.57","2,300.87","2,269.12","2,283.10"
01/28/2025,"2,287.11","2,294.67","2,275.08","2,288.86"
01/27/2025,"2,290.15","2,311.79","2,273.67","2,284.02"
01/24/2025,"2,312.38","2,322.27","2,303.15","2,307.74"
01/23/2025,"2,296.11","2,314.73","2,289.27","2,314.60"
01/22/2025,"2,316.14","2,318.63","2,301.90","2,303.72"
01/21/2025,"2,286.40","2,318.81","2,286.40","2,317.97"
01/17/2025,"2,281.66","2,289.97","2,269.22","2,275.88"
01/16/2025,"2,261.97","2,273.04","2,252.89","2,266.79"
01/15/2025,"2,256.56","2,278.17","2,252.74","2,263.29"
01/14/2025,"2,206.16","2,221.33","2,194.85","2,219.24"
01/13/2025,"2,176.49","2,194.69","2,158.63","2,194.40"
01/10/2025,"2,215.23","2,215.23","2,176.03","2,189.23"
01/08/2025,"2,236.12","2,241.89","2,211.71","2,238.96"
01/07/2025,"2,271.31","2,286.18","2,236.55","2,249.80"
01/06/2025,"2,275.71","2,292.30","2,264.42","2,266.65"
01/03/2025,"2,241.82","2,269.05","2,219.92","2,268.47"
01/02/2025,"2,241.82","2,261.75","2,219.92","2,231.67"
12/31/2024,"2,237.93","2,250.40","2,224.53","2,230.16"
12/30/2024,"2,230.83","2,237.92","2,202.67","2,227.78"
12/27/2024,"2,268.98","2,273.80","2,227.17","2,244.59"
12/26/2024,"2,248.80","2,281.83","2,243.80","2,280.19"
12/24/2024,"2,240.25","2,259.85","2,233.31","2,259.85"
12/23/2024,"2,239.09","2,241.91","2,219.42","2,237.44"
12/20/2024,"2,201.71","2,264.48","2,194.90","2,242.37"
12/19/2024,"2,251.09","2,265.35","2,217.15","2,221.50"
12/18/2024,"2,342.28","2,349.98","2,215.74","2,231.51"
12/17/2024,"2,350.79","2,354.56","2,329.27","2,334.08"
12/16/2024,"2,344.87","2,370.43","2,339.74","2,361.99"
12/13/2024,"2,357.81","2,361.84","2,336.28","2,346.90"
12/12/2024,"2,387.38","2,391.86","2,360.59","2,361.08"
12/11/2024,"2,399.05","2,407.74","2,386.37","2,394.16"
12/10/2024,"2,392.43","2,402.66","2,378.61","2,382.78"
12/09/2024,"2,418.83","2,428.16","2,392.70","2,392.84"
12/06/2024,"2,408.09","2,414.18","2,401.77","2,409.00"
12/05/2024,"2,425.04","2,425.81","2,395.16","2,396.17"
12/04/2024,"2,419.10","2,430.03","2,412.74","2,426.56"
12/03/2024,"2,433.91","2,435.31","2,412.85","2,416.35"
12/02/2024,"2,437.21","2,442.61","2,420.71","2,434.14"
11/29/2024,"2,433.00","2,445.64","2,433.00","2,434.73"
11/27/2024,"2,430.13","2,449.86","2,424.51","2,426.19"
11/26/2024,"2,439.02","2,439.02","2,415.92","2,424.31"
11/25/2024,"2,419.09","2,466.49","2,419.09","2,442.03"
11/22/2024,"2,366.44","2,409.22","2,366.44","2,406.67"
11/21/2024,"2,331.46","2,372.25","2,331.46","2,364.02"
11/20/2024,"2,323.31","2,325.88","2,303.79","2,325.53"
11/19/2024,"2,295.78","2,325.06","2,284.20","2,324.83"
11/18/2024,"2,306.52","2,322.07","2,301.87","2,306.34"
11/15/2024,"2,339.96","2,346.45","2,297.52","2,303.84"
11/14/2024,"2,374.14","2,379.59","2,333.27","2,336.94"
11/13/2024,"2,401.85","2,414.55","2,368.47","2,369.37"
11/12/2024,"2,428.14","2,432.40","2,387.81","2,391.85"
11/11/2024,"2,411.70","2,441.72","2,411.70","2,434.98"
11/08/2024,"2,384.08","2,401.91","2,376.42","2,399.64"
11/07/2024,"2,391.26","2,402.36","2,378.17","2,382.69"
11/06/2024,"2,300.98","2,393.85","2,300.98","2,392.92"
11/05/2024,"2,216.62","2,260.92","2,212.27","2,260.84"
11/04/2024,"2,206.57","2,233.19","2,200.30","2,219.03"
11/01/2024,"2,202.18","2,227.35","2,202.18","2,210.13"
10/31/2024,"2,231.37","2,232.16","2,196.65","2,196.65"
10/30/2024,"2,232.66","2,260.48","2,229.79","2,233.04"
10/29/2024,"2,236.51","2,238.09","2,221.75","2,238.09"
10/28/2024,"2,217.67","2,247.38","2,217.67","2,244.07"
10/25/2024,"2,225.77","2,236.69","2,207.24","2,208.00"
10/24/2024,"2,216.99","2,227.00","2,206.35","2,218.92"
10/23/2024,"2,224.65","2,226.41","2,195.47","2,213.84"
10/22/2024,"2,235.77","2,235.77","2,225.06","2,231.53"
10/21/2024,"2,275.33","2,275.60","2,238.30","2,239.71"
10/18/2024,"2,283.76","2,287.15","2,275.49","2,276.09"
10/17/2024,"2,287.41","2,288.64","2,272.01","2,280.85"
10/16/2024,"2,260.14","2,289.49","2,260.14","2,286.68"
10/15/2024,"2,246.53","2,272.16","2,243.71","2,249.82"
10/14/2024,"2,233.70","2,250.23","2,228.25","2,248.64"
10/11/2024,"2,188.63","2,234.96","2,188.63","2,234.41"
10/10/2024,"2,186.56","2,188.42","2,170.61","2,188.42"
10/09/2024,"2,194.24","2,213.14","2,190.46","2,200.59"
10/08/2024,"2,194.05","2,201.91","2,188.24","2,194.98"
10/07/2024,"2,206.09","2,206.09","2,181.24","2,193.09"
10/04/2024,"2,211.14","2,214.86","2,196.12","2,212.80"
10/03/2024,"2,181.75","2,189.39","2,173.30","2,180.15"
10/02/2024,"2,189.28","2,204.51","2,184.74","2,195.01"
10/01/2024,"2,223.12","2,223.57","2,186.86","2,197.03"
09/30/2024,"2,216.43","2,234.13","2,209.88","2,229.97"
09/27/2024,"2,229.95","2,243.65","2,218.79","2,224.71"
09/26/2024,"2,223.23","2,227.90","2,206.33","2,209.87"
09/25/2024,"2,223.89","2,224.09","2,196.90","2,197.45"
09/24/2024,"2,228.75","2,230.38","2,212.88","2,223.99"
